,stock,W,L,Data_Type,Month_type,Min_vol,Test_perc,Win_Rate,Symbol,Options Vol,Imp Vol,WR_rank,TR_rank,Vol_rank,Total_score,EV
41,MSI,52,8,pos_change,m1,2.3397171439008484,100%,0.8666666666666667,0,0.0,0,0.573051948051948,0.5551948051948052,0.3409090909090909,3.7256493506493507,15.208161435355517
42,ECL,51,8,pos_change,m1,1.8232636270167102,100%,0.864406779661017,0,0.0,0,0.512987012987013,0.1461038961038961,0.3409090909090909,2.318181818181818,11.62330562223153
43,O,53,6,pos_change,m1,1.845063055987272,100%,0.8983050847457628,0,0.0,0,0.7548701298701299,0.1525974025974026,0.3409090909090909,3.063311688311688,16.298056994554244
44,HD,52,8,pos_change,m1,1.9823703054931803,100%,0.8666666666666667,HD,25414.0,23.71%,0.573051948051948,0.2694805194805195,0.9285714285714286,3.4561688311688314,12.885406985705675
45,IFF,55,5,pos_change,m1,2.063594262767687,100%,0.9166666666666666,0,0.0,0,0.8701298701298701,0.3344155844155844,0.3409090909090909,3.9545454545454546,22.699536890444545
46,LMT,50,8,pos_change,m1,1.9982322888253592,100%,0.8620689655172413,0,0.0,0,0.48863636363636365,0.275974025974026,0.3409090909090909,2.6347402597402594,12.48895180515849
47,INCY,41,17,pos_change,m1,4.720499429642957,100%,0.7068965517241379,0,0.0,0,0.003246753246753247,1.0,0.3409090909090909,3.3506493506493507,11.38473391855066
48,CPB,53,6,pos_change,m1,1.7208559279841529,100%,0.8983050847457628,0,0.0,0,0.7548701298701299,0.08441558441558442,0.3409090909090909,2.8587662337662336,15.200894030526692
49,DTE,52,8,pos_change,m1,1.6637501583661132,100%,0.8666666666666667,0,0.0,0,0.573051948051948,0.05844155844155844,0.3409090909090909,2.2353896103896105,10.814376029379737
50,HST,50,9,pos_change,m1,2.594222294254926,100%,0.847457627118644,0,0.0,0,0.375,0.7272727272727273,0.3409090909090909,3.6477272727272725,14.41234607919403
