,stock,W,L,Data_Type,Month_type,Min_vol,Win_Rate,Symbol,Options Vol,Imp Vol,WR_rank,TR_rank,Vol_rank,Total_score,EV
65,GD,47,11,pos_change,m1,1.9914257630157735,0.8103448275862069,0,0.0,0,0.17868852459016393,0.25573770491803277,0.33934426229508197,1.6426229508196721,8.508819169249211
66,TGT,48,12,pos_change,m1,2.248569135459557,0.8,TGT,12273.0,29.95%,0.14918032786885246,0.4819672131147541,0.8885245901639345,2.781967213114754,8.99427654183823
67,GIS,55,5,pos_change,m1,1.5796573927600956,0.9166666666666666,0,0.0,0,0.8704918032786885,0.03278688524590164,0.33934426229508197,3.0491803278688527,17.376231320361043
68,CERN,44,16,pos_change,m1,2.6189435542925317,0.7333333333333333,0,0.0,0,0.009836065573770493,0.7278688524590164,0.33934426229508197,2.552459016393443,7.20209477430446
69,ROK,53,7,pos_change,m1,2.7979150106626793,0.8833333333333333,0,0.0,0,0.6885245901639344,0.8262295081967214,0.33934426229508197,4.88360655737705,21.184213652160278
70,LH,56,4,pos_change,m1,2.14046276114879,0.9333333333333333,0,0.0,0,0.9278688524590164,0.39672131147540984,0.33934426229508197,4.313114754098361,29.96647865608307
71,PSA,49,10,pos_change,m1,1.9503059149083983,0.8305084745762712,0,0.0,0,0.27704918032786885,0.2262295081967213,0.33934426229508197,1.8491803278688523,9.556498983051153
72,DE,50,10,pos_change,m1,2.7263044878387355,0.8333333333333334,DE,8373.0,30.77%,0.32295081967213113,0.7868852459016393,0.839344262295082,4.168852459016393,13.631522439193681
73,TMO,50,10,pos_change,m1,2.3686779152690414,0.8333333333333334,0,0.0,0,0.32295081967213113,0.580327868852459,0.33934426229508197,3.0491803278688527,11.84338957634521
74,STZ,52,8,pos_change,m1,2.468880913895657,0.8666666666666667,0,0.0,0,0.5754098360655737,0.6524590163934426,0.33934426229508197,4.022950819672131,16.047725940321772
75,ORLY,50,9,pos_change,m1,2.344616210088843,0.847457627118644,0,0.0,0,0.38688524590163936,0.5606557377049181,0.33934426229508197,3.1819672131147545,13.02564561160468
76,STT,53,7,pos_change,m1,2.4346613948173492,0.8833333333333333,0,0.0,0,0.6885245901639344,0.6163934426229508,0.33934426229508197,4.254098360655738,18.43386484647421
77,JKHY,46,14,pos_change,m1,2.554575941718582,0.7666666666666667,0,0.0,0,0.06885245901639345,0.6983606557377049,0.33934426229508197,2.640983606557377,8.393606665646772
78,ATO,52,7,pos_change,m1,1.9721326869116882,0.8813559322033898,0,0.0,0,0.6557377049180327,0.23934426229508196,0.33934426229508197,3.024590163934426,14.650128531343967
79,AMGN,44,13,pos_change,m1,2.1190105987931536,0.7719298245614035,0,0.0,0,0.08852459016393442,0.3737704918032787,0.33934426229508197,1.7262295081967214,7.172035872838364
80,TJX,52,8,pos_change,m1,2.468764729252816,0.8666666666666667,0,0.0,0,0.5754098360655737,0.6491803278688525,0.33934426229508197,4.0131147540983605,16.04697074014331
81,AOS,49,10,pos_change,m1,2.1354731722862965,0.8305084745762712,0,0.0,0,0.27704918032786885,0.3901639344262295,0.33934426229508197,2.3409836065573773,10.463818544202853
82,D,49,11,pos_change,m1,1.6605347053417572,0.8166666666666667,0,0.0,0,0.22459016393442624,0.04918032786885246,0.33934426229508197,1.160655737704918,7.396927323795099
83,BK,46,11,pos_change,m1,2.5774711333013713,0.8070175438596491,0,0.0,0,0.16885245901639345,0.7081967213114754,0.33934426229508197,2.970491803278688,10.778515648351187
84,ADBE,51,9,pos_change,m1,2.896010570758751,0.85,ADBE,12239.0,25.37%,0.4344262295081967,0.8786885245901639,0.8852459016393442,4.824590163934426,16.410726567632917
85,J,54,6,pos_change,m1,2.707986935754888,0.9,0,0.0,0,0.7934426229508197,0.7704918032786885,0.33934426229508197,5.031147540983607,24.371882421793998
86,CSCO,49,11,pos_change,m1,2.4652568259072645,0.8166666666666667,CSCO,59481.0,27.56%,0.22459016393442624,0.6426229508196721,0.9737704918032787,3.5754098360655737,10.981598588132359
87,BLL,53,7,pos_change,m1,2.2311081237742423,0.8833333333333333,0,0.0,0,0.6885245901639344,0.4721311475409836,0.33934426229508197,3.8213114754098365,16.892675794290685
88,ADM,46,9,pos_change,m1,2.0638609013454565,0.8363636363636363,ADM,2144.0,21.39%,0.3622950819672131,0.33114754098360655,0.6885245901639344,2.768852459016393,10.548622384654552
89,AME,50,10,pos_change,m1,2.460936408381727,0.8333333333333334,0,0.0,0,0.32295081967213113,0.639344262295082,0.33934426229508197,3.226229508196721,12.304682041908638
90,MKC,57,3,pos_change,m1,1.9060038497592187,0.95,0,0.0,0,0.9639344262295082,0.18360655737704917,0.33934426229508197,3.781967213114754,36.21407314542512
91,LLY,57,3,pos_change,m1,1.9718449454526183,0.95,LLY,2882.0,26.33%,0.9639344262295082,0.2360655737704918,0.7245901639344262,4.324590163934427,37.465053963599715
92,XOM,51,9,pos_change,m1,1.9373308876547726,0.85,XOM,54318.0,28.78%,0.4344262295081967,0.20655737704918034,0.9672131147540983,2.8901639344262295,10.978208363377043
93,TSN,52,8,pos_change,m1,2.488804893621111,0.8666666666666667,0,0.0,0,0.5754098360655737,0.6622950819672131,0.33934426229508197,4.052459016393443,16.177231808537226
94,RCL,55,3,pos_change,m1,2.6102004683155267,0.9482758620689655,RCL,8846.0,45.88%,0.9426229508196722,0.7245901639344262,0.8557377049180328,5.857377049180329,47.85367525245133
95,UNM,53,7,pos_change,m1,2.532751453450709,0.8833333333333333,0,0.0,0,0.6885245901639344,0.6885245901639344,0.33934426229508197,4.470491803278689,19.176546718983936
96,VNO,56,2,pos_change,m1,2.007884466291469,0.9655172413793104,0,0.0,0,0.980327868852459,0.2754098360655738,0.33934426229508197,4.10655737704918,56.220765056161206
97,AVY,51,8,pos_change,m1,2.2087094013096653,0.864406779661017,0,0.0,0,0.519672131147541,0.4459016393442623,0.33934426229508197,3.2360655737704915,14.080522433349119
98,HOLX,45,15,pos_change,m1,3.307257463882358,0.75,0,0.0,0,0.029508196721311476,0.9540983606557377,0.33934426229508197,3.2901639344262295,9.921772391647075
